trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WD-BHI-LBB-001,5:06:30,5:09:20,5:11:20,5:13:10,5:15:30,5:17:20,5:19:50,5:22:10,5:24:40,5:27:00,5:29:20,5:32:40,5:35:50
NS-WD-BHI-LBB-002,5:21:30,5:24:20,5:26:20,5:28:10,5:30:30,5:32:20,5:34:50,5:37:10,5:39:40,5:42:00,5:44:20,5:47:40,5:50:50
NS-WD-BHI-LBB-003,5:33:30,5:36:20,5:38:20,5:40:10,5:42:30,5:44:20,5:46:50,5:49:10,5:51:40,5:54:00,5:56:20,5:59:40,6:02:50
NS-WD-BHI-LBB-004,5:45:30,5:48:20,5:50:20,5:52:10,5:54:30,5:56:20,5:58:50,6:01:10,6:03:40,6:06:00,6:08:20,6:11:40,6:14:50
NS-WD-BHI-LBB-005,5:57:30,6:00:20,6:02:20,6:04:10,6:06:30,6:08:20,6:10:50,6:13:10,6:15:40,6:18:00,6:20:20,6:23:40,6:26:50
NS-WD-BHI-LBB-006,6:09:30,6:12:20,6:14:20,6:16:10,6:18:30,6:20:20,6:22:50,6:25:10,6:27:40,6:30:00,6:32:20,6:35:40,6:38:50
NS-WD-BHI-LBB-007,6:20:30,6:23:20,6:25:20,6:27:10,6:29:30,6:31:20,6:33:50,6:36:10,6:38:40,6:41:00,6:43:20,6:46:40,6:49:50
NS-WD-BHI-LBB-008,6:30:30,6:33:20,6:35:20,6:37:10,6:39:30,6:41:20,6:43:50,6:46:10,6:48:40,6:51:00,6:53:20,6:56:40,6:59:50
NS-WD-BHI-LBB-009,6:39:00,6:41:50,6:43:50,6:45:40,6:48:00,6:49:50,6:52:20,6:54:40,6:57:10,6:59:30,7:01:50,7:05:10,7:08:20
NS-WD-BHI-LBB-010,6:46:30,6:49:20,6:51:30,6:53:30,6:55:50,6:57:40,7:00:10,7:02:30,7:05:00,7:07:20,7:09:40,7:13:00,7:16:10
NS-WD-BHI-LBB-011,6:53:50,6:56:40,6:58:50,7:00:50,7:03:10,7:05:00,7:07:30,7:09:50,7:12:20,7:14:40,7:17:00,7:20:20,7:23:30
NS-WD-BHI-LBB-012,7:01:10,7:04:00,7:06:10,7:08:10,7:10:30,7:12:20,7:14:50,7:17:10,7:19:40,7:22:00,7:24:20,7:27:40,7:30:50
NS-WD-BHI-LBB-013,7:08:10,7:11:00,7:13:10,7:15:10,7:17:30,7:19:20,7:21:50,7:24:10,7:26:40,7:29:00,7:31:20,7:34:40,7:37:50
NS-WD-BHI-LBB-014,7:14:10,7:17:00,7:19:10,7:21:10,7:23:30,7:25:20,7:27:50,7:30:10,7:32:40,7:35:00,7:37:20,7:40:40,7:43:50
NS-WD-BHI-LBB-015,7:19:10,7:22:00,7:24:10,7:26:10,7:28:30,7:30:20,7:32:50,7:35:10,7:37:40,7:40:00,7:42:20,7:45:40,7:48:50
NS-WD-BHI-LBB-016,7:24:10,7:27:00,7:29:10,7:31:10,7:33:30,7:35:20,7:37:50,7:40:10,7:42:40,7:45:00,7:47:20,7:50:40,7:53:50
NS-WD-BHI-LBB-017,7:29:10,7:32:00,7:34:10,7:36:10,7:38:30,7:40:20,7:42:50,7:45:10,7:47:40,7:50:00,7:52:20,7:55:40,7:58:50
