trip_id,BHI,DKA,STB,BNH,IST,SNY,ASN,BKM,BKA,HJN,CPT,FTM,LBB
NS-WE-BHI-LBB-001,5:06:30,5:09:20,5:11:20,5:13:10,5:15:30,5:17:20,5:19:50,5:22:10,5:24:40,5:27:00,5:29:20,5:32:40,5:35:50
NS-WE-BHI-LBB-002,5:21:30,5:24:20,5:26:20,5:28:10,5:30:30,5:32:20,5:34:50,5:37:10,5:39:40,5:42:00,5:44:20,5:47:40,5:50:50
NS-WE-BHI-LBB-003,5:33:30,5:36:20,5:38:20,5:40:10,5:42:30,5:44:20,5:46:50,5:49:10,5:51:40,5:54:00,5:56:20,5:59:40,6:02:50
NS-WE-BHI-LBB-004,5:45:30,5:48:20,5:50:20,5:52:10,5:54:30,5:56:20,5:58:50,6:01:10,6:03:40,6:06:00,6:08:20,6:11:40,6:14:50
NS-WE-BHI-LBB-005,5:57:30,6:00:20,6:02:20,6:04:10,6:06:30,6:08:20,6:10:50,6:13:10,6:15:40,6:18:00,6:20:20,6:23:40,6:26:50
NS-WE-BHI-LBB-006,6:09:30,6:12:20,6:14:20,6:16:10,6:18:30,6:20:20,6:22:50,6:25:10,6:27:40,6:30:00,6:32:20,6:35:40,6:38:50
NS-WE-BHI-LBB-007,6:21:30,6:24:20,6:26:20,6:28:10,6:30:30,6:32:20,6:34:50,6:37:10,6:39:40,6:42:00,6:44:20,6:47:40,6:50:50
NS-WE-BHI-LBB-008,6:32:30,6:35:20,6:37:20,6:39:10,6:41:30,6:43:20,6:45:50,6:48:10,6:50:40,6:53:00,6:55:20,6:58:40,7:01:50
NS-WE-BHI-LBB-009,6:43:30,6:46:20,6:48:20,6:50:10,6:52:30,6:54:20,6:56:50,6:59:10,7:01:40,7:04:00,7:06:20,7:09:40,7:12:50
NS-WE-BHI-LBB-010,6:53:30,6:56:20,6:58:20,7:00:10,7:02:30,7:04:20,7:06:50,7:09:10,7:11:40,7:14:00,7:16:20,7:19:40,7:22:50
