trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI,Full Trip
NS-WD-LBB-BHI-001,5:00:00,5:03:10,5:06:10,5:08:20,5:10:40,5:13:20,5:15:10,5:17:40,5:19:40,5:22:10,5:24:10,5:26:20,5:29:20,0:29:20
NS-WD-LBB-BHI-002,5:12:00,5:15:10,5:18:10,5:20:20,5:22:40,5:25:20,5:27:10,5:29:40,5:31:40,5:34:10,5:36:10,5:38:20,5:41:20,0:29:20
NS-WD-LBB-BHI-003,5:24:00,5:27:10,5:30:10,5:32:20,5:34:40,5:37:20,5:39:10,5:41:40,5:43:40,5:46:10,5:48:10,5:50:20,5:53:20,0:29:20
NS-WD-LBB-BHI-004,5:36:00,5:39:10,5:42:10,5:44:20,5:46:40,5:49:20,5:51:10,5:53:40,5:55:40,5:58:10,6:00:10,6:02:20,6:05:20,0:29:20
NS-WD-LBB-BHI-005,5:46:00,5:49:10,5:52:10,5:54:20,5:56:40,5:59:20,6:01:10,6:03:40,6:05:40,6:08:10,6:10:10,6:12:20,6:15:20,0:29:20
NS-WD-LBB-BHI-006,5:55:00,5:58:10,6:01:10,6:03:20,6:05:40,6:08:20,6:10:10,6:12:40,6:14:40,6:17:10,6:19:10,6:21:20,6:24:20,0:29:20
NS-WD-LBB-BHI-007,6:03:00,6:06:10,6:09:10,6:11:20,6:13:40,6:16:20,6:18:10,6:20:40,6:22:40,6:25:10,6:27:10,6:29:20,6:32:20,0:29:20
NS-WD-LBB-BHI-008,6:10:00,6:13:10,6:16:10,6:18:20,6:20:40,6:23:20,6:25:10,6:27:40,6:29:40,6:32:10,6:34:10,6:36:20,6:39:20,0:29:20
NS-WD-LBB-BHI-009,6:17:30,6:20:40,6:23:40,6:25:50,6:28:10,6:30:50,6:32:40,6:35:10,6:37:10,6:39:40,6:41:40,6:43:50,6:46:50,0:29:20
NS-WD-LBB-BHI-010,6:24:30,6:27:40,6:30:40,6:32:50,6:35:10,6:37:50,6:39:40,6:42:10,6:44:10,6:46:40,6:48:40,6:50:50,6:53:50,0:29:20
NS-WD-LBB-BHI-011,6:31:30,6:34:40,6:37:40,6:39:50,6:42:10,6:44:50,6:46:40,6:49:10,6:51:10,6:53:40,6:55:40,6:57:50,7:00:50,0:29:20
