trip_id,LBB,FTM,CPT,HJN,BKA,BKM,ASN,SNY,IST,BNH,STB,DKA,BHI
NS-WE-LBB-BHI-001,5:00:00,5:02:20,5:05:40,5:07:50,5:10:10,5:12:30,5:14:40,5:17:10,5:19:00,5:21:30,5:24:10,5:26:20,5:29:20
NS-WE-LBB-BHI-002,5:12:00,5:14:20,5:17:40,5:19:50,5:22:10,5:24:30,5:26:40,5:29:10,5:31:00,5:33:30,5:36:10,5:38:20,5:41:20
NS-WE-LBB-BHI-003,5:24:00,5:26:20,5:29:40,5:31:50,5:34:10,5:36:30,5:38:40,5:41:10,5:43:00,5:45:30,5:48:10,5:50:20,5:53:20
NS-WE-LBB-BHI-004,5:36:00,5:38:20,5:41:40,5:43:50,5:46:10,5:48:30,5:50:40,5:53:10,5:55:00,5:57:30,6:00:10,6:02:20,6:05:20
NS-WE-LBB-BHI-005,5:48:00,5:50:20,5:53:40,5:55:50,5:58:10,6:00:30,6:02:40,6:05:10,6:07:00,6:09:30,6:12:10,6:14:20,6:17:20
NS-WE-LBB-BHI-006,5:59:00,6:01:20,6:04:40,6:06:50,6:09:10,6:11:30,6:13:40,6:16:10,6:18:00,6:20:30,6:23:10,6:25:20,6:28:20
NS-WE-LBB-BHI-007,6:10:00,6:12:20,6:15:40,6:17:50,6:20:10,6:22:30,6:24:40,6:27:10,6:29:00,6:31:30,6:34:10,6:36:20,6:39:20
NS-WE-LBB-BHI-008,6:20:00,6:22:20,6:25:40,6:27:50,6:30:10,6:32:30,6:34:40,6:37:10,6:39:00,6:41:30,6:44:10,6:46:20,6:49:20
NS-WE-LBB-BHI-009,6:30:00,6:32:20,6:35:40,6:37:50,6:40:10,6:42:30,6:44:40,6:47:10,6:49:00,6:51:30,6:54:10,6:56:20,6:59:20
NS-WE-LBB-BHI-010,6:40:00,6:42:20,6:45:40,6:47:50,6:50:10,6:52:30,6:54:40,6:57:10,6:59:00,7:01:30,7:04:10,7:06:20,7:09:20
